BoardName;AnnualReportDate;CommitteeName;DirectorName;CommitteeRoleName;FunctionalExperience;BoardRole;BrdPosition;DirRoleStatus;BoardID;NED;DirectorID;Ticker
CARNIVAL CORP;01/11/2018;Health Safety Security and Environment;Admiral Sir Jonathon Band;Chairman;;Independent Director;Yes;Admiral Sir Jonathon Band joined this role in 01 Dec 2017;5867;Yes;600674;CCL
CARNIVAL CORP;01/11/2018;Nominating and Governance;Admiral Sir Jonathon Band;Member;;Independent Director;Yes;Admiral Sir Jonathon Band joined this role in 18 Jan 2018;5867;Yes;600674;CCL
CARNIVAL CORP;01/11/2018;Audit;Jason Cahilly;Financial Expert;;Independent Director;Yes;Jason Cahilly joined this role in 18 Jul 2017;5867;Yes;1115841;CCL
CARNIVAL CORP;01/11/2018;Health Safety Security and Environment;Helen Deeble;Member;;Independent Director;Yes;Helen Deeble joined this role in 13 Jul 2016;5867;Yes;1587044;CCL
CATERPILLAR INC;01/12/2018;Compensation and Human Resources;Dave Calhoun;Member;;Presiding Independent Director;Yes;Dave Calhoun departed in 13 Jun 2018;6052;Yes;32458;CAT
CATERPILLAR INC;01/12/2018;Governance and Public Policy;Dave Calhoun;Chairman;;Presiding Independent Director;Yes;Dave Calhoun joined this role in 13 Jun 2018;6052;Yes;32458;CAT
CATERPILLAR INC;01/12/2018;Audit;Ray Wilkins Jr;Financial Expert;;Independent Director;Yes;Ray Wilkins Jr departed in 13 Jun 2018;6052;Yes;33069;CAT
CATERPILLAR INC;01/12/2018;Compensation and Human Resources;Ray Wilkins Jr;Member;;Independent Director;Yes;Ray Wilkins Jr joined this role in 13 Jun 2018;6052;Yes;33069;CAT
CATERPILLAR INC;01/12/2018;Compensation and Human Resources;Miles White;Chairman;;Independent Director;Yes;Miles White joined this role in 2017;6052;Yes;33500;CAT
CATERPILLAR INC;01/12/2018;Audit;Bill Osborn;Financial Expert;;Independent Director;Outside;Bill Osborn joined this role in 13 Jun 2018;6052;Yes;36014;CAT
CATERPILLAR INC;01/12/2018;Governance and Public Policy;Ed Rust Jr;Member;;Independent Director;Yes;Ed Rust Jr joined this role in 13 Jun 2018;6052;Yes;36514;CAT
CATERPILLAR INC;01/12/2018;Governance and Public Policy;Juan Gallardo Thurlow;Member;;Independent Director;Yes;Juan Gallardo Thurlow joined this role in 12 Jun 2013;6052;Yes;41361;CAT
CATERPILLAR INC;01/12/2018;Compensation and Human Resources;Debbie Reed-Klages;Member;;Independent Director;Yes;Debbie Reed-Klages joined this role in 2017;6052;Yes;47031;CAT
CATERPILLAR INC;01/12/2018;Governance and Public Policy;Ambassador Susan Schwab;Member;;Independent Director;Yes;Ambassador Susan Schwab joined this role in 12 Jun 2013;6052;Yes;104877;CAT
CATERPILLAR INC;01/12/2018;Audit;Dan Dickinson;Chair/Financial Expert;;Independent Director;Yes;Dan Dickinson joined this role in 13 Jun 2018;6052;Yes;511090;CAT
CATERPILLAR INC;01/12/2018;Audit;Dennis Muilenburg;Financial Expert;;Independent Director;Yes;Dennis Muilenburg joined this role in 13 Jun 2012;6052;Yes;881229;CAT
CATERPILLAR INC;01/12/2018;Governance and Public Policy;The Hon. Kelly Ayotte;Member;;Independent Director;Yes;The Hon. Kelly Ayotte joined this role in 09 Aug 2017;6052;Yes;1096277;CAT
CELGENE CORP (De-listed 11/2019);01/12/2018;Executive;Doctor Ernie Mario;Member;;Independent Director;Yes;Doctor Ernie Mario joined this role in 18 Jun 2008;6177;Yes;35589;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Executive;Doctor Ernie Mario;Member;;Independent Director;Yes;Doctor Ernie Mario joined this role in 18 Jun 2008;6177;Yes;35589;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Management Compensation and Development;Doctor Ernie Mario;Chairman;;Independent Director;Yes;Doctor Ernie Mario joined this role in 24 Jun 2014;6177;Yes;35589;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Management Compensation and Development;Doctor Ernie Mario;Chairman;;Independent Director;Yes;Doctor Ernie Mario joined this role in 24 Jun 2014;6177;Yes;35589;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;CEO(1);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;CEO(1);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Chairman (Executive)(1);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Chairman (Executive)(1);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Chairman(7);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Chairman(7);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Chairman/CEO(6);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Chairman/CEO(6);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Co-Chairman/CEO(1);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Co-Chairman/CEO(1);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Deputy Chairman/CEO(1);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Deputy Chairman/CEO(1);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Independent Chairman(4);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Ernie Mario;Member;Independent Chairman(4);Independent Director;Yes;Doctor Ernie Mario joined this role in 2013;6177;Yes;35589;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Gilla Kaplan;Member;CEO(1);Independent Director;Yes;Doctor Gilla Kaplan departed in Apr 2018;6177;Yes;84047;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Gilla Kaplan;Member;CEO(1);Independent Director;Yes;Doctor Gilla Kaplan departed in Apr 2018;6177;Yes;84047;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Executive;Bob Hugin;Chairman;;Chairman (Executive);Yes;Bob Hugin departed in 05 Feb 2018;6177;No;84112;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Executive;Bob Hugin;Chairman;;Chairman (Executive);Yes;Bob Hugin departed in 05 Feb 2018;6177;No;84112;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Executive;Michael Casey;Member;;Lead Independent Director;Yes;Michael Casey joined this role in Dec 2006;6177;Yes;84252;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Executive;Michael Casey;Member;;Lead Independent Director;Yes;Michael Casey joined this role in Dec 2006;6177;Yes;84252;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Management Compensation and Development;Michael Casey;Member;;Lead Independent Director;Yes;Michael Casey joined this role in 2011;6177;Yes;84252;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Management Compensation and Development;Michael Casey;Member;;Lead Independent Director;Yes;Michael Casey joined this role in 2011;6177;Yes;84252;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Michael Casey;Chairman;Chairman/President/CEO(1);Lead Independent Director;Yes;Michael Casey joined this role in 2013;6177;Yes;84252;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Michael Casey;Chairman;Chairman/President/CEO(1);Lead Independent Director;Yes;Michael Casey joined this role in 2013;6177;Yes;84252;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Michael Casey;Chairman;Independent Chairman(1);Lead Independent Director;Yes;Michael Casey joined this role in 2013;6177;Yes;84252;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Michael Casey;Chairman;Independent Chairman(1);Lead Independent Director;Yes;Michael Casey joined this role in 2013;6177;Yes;84252;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Michael Casey;Chairman;President/CEO(1);Lead Independent Director;Yes;Michael Casey joined this role in 2013;6177;Yes;84252;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Michael Casey;Chairman;President/CEO(1);Lead Independent Director;Yes;Michael Casey joined this role in 2013;6177;Yes;84252;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Pat Hemingway-Hall;Member;;Independent Director;Yes;Pat Hemingway-Hall joined this role in 19 Apr 2018;6177;Yes;104692;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Pat Hemingway-Hall;Member;;Independent Director;Yes;Pat Hemingway-Hall joined this role in 19 Apr 2018;6177;Yes;104692;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Carrie Cox;Member;;Independent Director;Yes;Carrie Cox departed in Apr 2018;6177;Yes;204269;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Carrie Cox;Member;;Independent Director;Yes;Carrie Cox departed in Apr 2018;6177;Yes;204269;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Management Compensation and Development;Carrie Cox;Member;;Independent Director;Yes;Carrie Cox joined this role in Apr 2018;6177;Yes;204269;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Management Compensation and Development;Carrie Cox;Member;;Independent Director;Yes;Carrie Cox joined this role in Apr 2018;6177;Yes;204269;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;John Weiland;Member;;Independent Director;Yes;John Weiland joined this role in 13 Feb 2018;6177;Yes;204605;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;John Weiland;Member;;Independent Director;Yes;John Weiland joined this role in 13 Feb 2018;6177;Yes;204605;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Michael Friedman;Member;CEO(1);Independent Director;Yes;Doctor Michael Friedman joined this role in 2013;6177;Yes;325847;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Michael Friedman;Member;CEO(1);Independent Director;Yes;Doctor Michael Friedman joined this role in 2013;6177;Yes;325847;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Michael Friedman;Member;President/CEO(1);Independent Director;Yes;Doctor Michael Friedman joined this role in 2013;6177;Yes;325847;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Doctor Michael Friedman;Member;President/CEO(1);Independent Director;Yes;Doctor Michael Friedman joined this role in 2013;6177;Yes;325847;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Jim Loughlin;Chairman / Financial Expert;;Independent Director;Yes;Jim Loughlin joined this role in 18 Jun 2008;6177;Yes;328010;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Jim Loughlin;Chairman / Financial Expert;;Independent Director;Yes;Jim Loughlin joined this role in 18 Jun 2008;6177;Yes;328010;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Management Compensation and Development;Jim Loughlin;Member;;Independent Director;Yes;Jim Loughlin joined this role in 2011;6177;Yes;328010;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Management Compensation and Development;Jim Loughlin;Member;;Independent Director;Yes;Jim Loughlin joined this role in 2011;6177;Yes;328010;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Mike Bonney;Financial Expert;;Independent Director;Yes;Mike Bonney departed in Apr 2018;6177;Yes;328967;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Mike Bonney;Financial Expert;;Independent Director;Yes;Mike Bonney departed in Apr 2018;6177;Yes;328967;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Executive;Mike Bonney;Member;;Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Executive;Mike Bonney;Member;;Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Mike Bonney;Member;CEO(1);Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Mike Bonney;Member;CEO(1);Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Mike Bonney;Member;Chairman (Executive)(1);Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Mike Bonney;Member;Chairman (Executive)(1);Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Mike Bonney;Member;Chairman (Non-Executive)(1);Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Mike Bonney;Member;Chairman (Non-Executive)(1);Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Mike Bonney;Member;Chairman/CEO(1);Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Mike Bonney;Member;Chairman/CEO(1);Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Mike Bonney;Member;President/CEO(1);Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Nominating Governance and Compliance;Mike Bonney;Member;President/CEO(1);Independent Director;Yes;Mike Bonney joined this role in Apr 2018;6177;Yes;328967;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Professor Richard Barker;Member;;Independent Director;Yes;Professor Richard Barker joined this role in 20 Jan 2012;6177;Yes;440127;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Professor Richard Barker;Member;;Independent Director;Yes;Professor Richard Barker joined this role in 20 Jan 2012;6177;Yes;440127;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Executive;Mark Alles;Chairman;;Chairman/CEO;Yes;Mark Alles joined this role in 05 Feb 2018;6177;No;1203855;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Executive;Mark Alles;Chairman;;Chairman/CEO;Yes;Mark Alles joined this role in 05 Feb 2018;6177;No;1203855;CG3
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Doctor Julia Haller Gottsch;Member;;Independent Director;Yes;Doctor Julia Haller Gottsch joined this role in 15 Oct 2015;6177;Yes;1622255;CELG
CELGENE CORP (De-listed 11/2019);01/12/2018;Audit;Doctor Julia Haller Gottsch;Member;;Independent Director;Yes;Doctor Julia Haller Gottsch joined this role in 15 Oct 2015;6177;Yes;1622255;CG3
CENTERPOINT ENERGY INC;01/12/2018;Audit;John Somerhalder II;Member;;Independent Director;Yes;John Somerhalder II departed in 2018;6271;Yes;60082;CNP
CENTERPOINT ENERGY INC;01/12/2018;Governance;John Somerhalder II;Member;;Independent Director;Yes;John Somerhalder II joined this role in 26 Apr 2018;6271;Yes;60082;CNP
CENTERPOINT ENERGY INC;01/12/2018;Compensation;John Somerhalder II;Member;;Independent Director;Yes;John Somerhalder II joined this role in 27 Apr 2017;6271;Yes;60082;CNP
CENTERPOINT ENERGY INC;01/12/2018;Audit;Michael Johnson Sr;Member;;Independent Director;Yes;Michael Johnson Sr departed in 26 Apr 2018;6271;Yes;205509;CNP
CENTERPOINT ENERGY INC;01/12/2018;Finance;Michael Johnson Sr;Member;;Independent Director;Yes;Michael Johnson Sr departed in 26 Apr 2018;6271;Yes;205509;CNP
CENTERPOINT ENERGY INC;01/12/2018;Audit;Scott McLean;Member;;Independent Director;Yes;Scott McLean joined this role in 26 Apr 2018;6271;Yes;205902;CNP
CENTERPOINT ENERGY INC;01/12/2018;Finance;Scott McLean;Member;;Independent Director;Yes;Scott McLean joined this role in 27 Apr 2017;6271;Yes;205902;CNP
CENTERPOINT ENERGY INC;01/12/2018;Compensation;Scott McLean;Member;;Independent Director;Yes;Scott McLean departed in 2018;6271;Yes;205902;CNP
CENTERPOINT ENERGY INC;01/12/2018;Audit;Susan Rheney;Member;;Independent Director;Yes;Susan Rheney joined this role in 26 Apr 2018;6271;Yes;220762;CNP
CENTERPOINT ENERGY INC;01/12/2018;Finance;Susan Rheney;Chairman;;Independent Director;Yes;Susan Rheney joined this role in 27 Apr 2017;6271;Yes;220762;CNP
CENTERPOINT ENERGY INC;01/12/2018;Governance;Susan Rheney;Member;;Independent Director;Yes;Susan Rheney departed in 2018;6271;Yes;220762;CNP
CENTERPOINT ENERGY INC;01/12/2018;Finance;Peter Wareing;Member;;Independent Director;Yes;Peter Wareing joined this role in 26 Apr 2018;6271;Yes;334471;CNP
CENTERPOINT ENERGY INC;01/12/2018;Governance;Peter Wareing;Member;;Independent Director;Yes;Peter Wareing departed in 2018;6271;Yes;334471;CNP
CENTERPOINT ENERGY INC;01/12/2018;Compensation;Peter Wareing;Chairman;;Independent Director;Yes;Peter Wareing joined this role in 27 Apr 2017;6271;Yes;334471;CNP
CENTERPOINT ENERGY INC;01/12/2018;Audit;Janiece Longoria;Member;;Independent Director;Yes;Janiece Longoria departed in 26 Apr 2018;6271;Yes;334572;CNP
CENTERPOINT ENERGY INC;01/12/2018;Finance;Janiece Longoria;Member;;Independent Director;Yes;Janiece Longoria departed in 26 Apr 2018;6271;Yes;334572;CNP
CENTERPOINT ENERGY INC;01/12/2018;Governance;Doctor Theodore Pound III;Chairman;;Independent Director;Yes;Doctor Theodore Pound III joined this role in 27 Apr 2017;6271;Yes;483393;CNP
CENTERPOINT ENERGY INC;01/12/2018;Compensation;Doctor Theodore Pound III;Member;;Independent Director;Yes;Doctor Theodore Pound III joined this role in 27 Apr 2017;6271;Yes;483393;CNP
CENTERPOINT ENERGY INC;01/12/2018;Governance;Marty Nesbitt;Member;;Independent Director;Yes;Marty Nesbitt joined this role in 26 Apr 2018;6271;Yes;1070916;CNP
CENTERPOINT ENERGY INC;01/12/2018;Compensation;Marty Nesbitt;Member;;Independent Director;Yes;Marty Nesbitt joined this role in 26 Apr 2018;6271;Yes;1070916;CNP
CENTERPOINT ENERGY INC;01/12/2018;Audit;Phillip Smith;Chair/Financial Expert;;Independent Director;Yes;Phillip Smith joined this role in 24 Apr 2014;6271;Yes;1374294;CNP
CENTERPOINT ENERGY INC;01/12/2018;Governance;Phillip Smith;Member;;Independent Director;Yes;Phillip Smith joined this role in 27 Apr 2017;6271;Yes;1374294;CNP
CENTERPOINT ENERGY INC;01/12/2018;Audit;Leslie Biddle;Member;;Independent Director;Yes;Leslie Biddle joined this role in 26 Apr 2018;6271;Yes;1762842;CNP
CENTERPOINT ENERGY INC;01/12/2018;Finance;Leslie Biddle;Member;;Independent Director;Yes;Leslie Biddle joined this role in 26 Apr 2018;6271;Yes;1762842;CNP
CERNER CORP (De-listed 06/2022);01/12/2018;Audit;Linda Dillman;Member;;Independent Director;Yes;Linda Dillman departed in 18 May 2018;6375;Yes;32096;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Audit;Linda Dillman;Member;;Independent Director;Yes;Linda Dillman departed in 18 May 2018;6375;Yes;32096;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Compensation;Linda Dillman;Chairwoman;;Independent Director;Yes;Linda Dillman joined this role in 28 May 2010;6375;Yes;32096;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Compensation;Linda Dillman;Chairwoman;;Independent Director;Yes;Linda Dillman joined this role in 28 May 2010;6375;Yes;32096;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Audit;The Hon. Mitch Daniels Jr;Member;;Lead Independent Director;Yes;The Hon. Mitch Daniels Jr joined this role in 23 Dec 2013;6375;Yes;33305;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Audit;The Hon. Mitch Daniels Jr;Member;;Lead Independent Director;Yes;The Hon. Mitch Daniels Jr joined this role in 23 Dec 2013;6375;Yes;33305;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;The Hon. Mitch Daniels Jr;Chairman;Chairman(1);Lead Independent Director;Yes;The Hon. Mitch Daniels Jr joined this role in 23 May 2014;6375;Yes;33305;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;The Hon. Mitch Daniels Jr;Chairman;Chairman(1);Lead Independent Director;Yes;The Hon. Mitch Daniels Jr joined this role in 23 May 2014;6375;Yes;33305;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;The Hon. Mitch Daniels Jr;Chairman;President/CEO(1);Lead Independent Director;Yes;The Hon. Mitch Daniels Jr joined this role in 23 May 2014;6375;Yes;33305;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;The Hon. Mitch Daniels Jr;Chairman;President/CEO(1);Lead Independent Director;Yes;The Hon. Mitch Daniels Jr joined this role in 23 May 2014;6375;Yes;33305;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Audit;Bill Zollars;Member;;Independent Director;Yes;Bill Zollars joined this role in 27 May 2005;6375;Yes;142161;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Audit;Bill Zollars;Member;;Independent Director;Yes;Bill Zollars joined this role in 27 May 2005;6375;Yes;142161;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Compensation;Bill Zollars;Member;;Independent Director;Yes;Bill Zollars joined this role in 27 May 2005;6375;Yes;142161;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Compensation;Bill Zollars;Member;;Independent Director;Yes;Bill Zollars joined this role in 27 May 2005;6375;Yes;142161;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Bill Zollars;Member;Chairman/CEO(1);Independent Director;Yes;Bill Zollars joined this role in 28 May 2010;6375;Yes;142161;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Bill Zollars;Member;Chairman/CEO(1);Independent Director;Yes;Bill Zollars joined this role in 28 May 2010;6375;Yes;142161;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Bill Zollars;Member;Chairman/President/CEO(2);Independent Director;Yes;Bill Zollars joined this role in 28 May 2010;6375;Yes;142161;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Bill Zollars;Member;Chairman/President/CEO(2);Independent Director;Yes;Bill Zollars joined this role in 28 May 2010;6375;Yes;142161;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Audit;Doctor Gary Bisbee Jr;Chairman / Financial Expert;;Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 27 May 2005;6375;Yes;181355;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Audit;Doctor Gary Bisbee Jr;Chairman / Financial Expert;;Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 27 May 2005;6375;Yes;181355;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Doctor Gary Bisbee Jr;Member;Chairman (Executive)(1);Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 23 May 2003;6375;Yes;181355;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Doctor Gary Bisbee Jr;Member;Chairman (Executive)(1);Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 23 May 2003;6375;Yes;181355;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Doctor Gary Bisbee Jr;Member;Chairman(2);Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 23 May 2003;6375;Yes;181355;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Doctor Gary Bisbee Jr;Member;Chairman(2);Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 23 May 2003;6375;Yes;181355;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Doctor Gary Bisbee Jr;Member;Chairman/CEO(3);Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 23 May 2003;6375;Yes;181355;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Doctor Gary Bisbee Jr;Member;Chairman/CEO(3);Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 23 May 2003;6375;Yes;181355;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Doctor Gary Bisbee Jr;Member;Chairman/President/CEO(3);Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 23 May 2003;6375;Yes;181355;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Doctor Gary Bisbee Jr;Member;Chairman/President/CEO(3);Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 23 May 2003;6375;Yes;181355;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Doctor Gary Bisbee Jr;Member;President/CEO(1);Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 23 May 2003;6375;Yes;181355;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Nominating Governance and Public Policy;Doctor Gary Bisbee Jr;Member;President/CEO(1);Independent Director;Yes;Doctor Gary Bisbee Jr joined this role in 23 May 2003;6375;Yes;181355;CERN
CERNER CORP (De-listed 06/2022);01/12/2018;Compensation;Doctor Bill Neaves;Member;;Independent Director;Yes;Doctor Bill Neaves departed in 18 May 2018;6375;Yes;181366;CRE
CERNER CORP (De-listed 06/2022);01/12/2018;Compensation;Doctor Bill Neaves;Member;;Independent Director;Yes;Doctor Bill Neaves departed in 18 May 2018;6375;Yes;181366;CERN
