BoardName;Ticker;AnnualReportDate;CommitteeName;DirectorName;CommitteeRoleName;FunctionalExperience;BoardRole;BrdPosition;DirRoleStatus;BoardID;NED;DirectorID
CMS ENERGY CORP;CMS;01/12/2018;Audit;Doctor Phil Lochner Jr;Member;;Independent Director;Yes;Doctor Phil Lochner Jr departed in 04 May 2018;7147;Yes;6191
CMS ENERGY CORP;CSG;01/12/2018;Audit;Jon Barfield;Financial Expert;;Independent Director;Yes;Jon Barfield joined this role in 18 May 2012;7147;Yes;36476
CMS ENERGY CORP;CMS;01/12/2018;Audit;Jon Barfield;Financial Expert;;Independent Director;Yes;Jon Barfield joined this role in 18 May 2012;7147;Yes;36476
CMS ENERGY CORP;CSG;01/12/2018;Audit;Laura Wright;Chairman / Financial Expert;;Independent Director;Yes;Laura Wright joined this role in 05 May 2017;7147;Yes;456761
CMS ENERGY CORP;CMS;01/12/2018;Audit;Laura Wright;Chairman / Financial Expert;;Independent Director;Yes;Laura Wright joined this role in 05 May 2017;7147;Yes;456761
CMS ENERGY CORP;CSG;01/12/2018;Audit;John Sznewajs;Financial Expert;VP/CFO(1);Independent Director;Yes;John Sznewajs joined this role in 15 Jul 2015;7147;Yes;487100
CMS ENERGY CORP;CMS;01/12/2018;Audit;John Sznewajs;Financial Expert;VP/CFO(1);Independent Director;Yes;John Sznewajs joined this role in 15 Jul 2015;7147;Yes;487100
CMS ENERGY CORP;CSG;01/12/2018;Audit;Myrna Soto;Member;;Independent Director;Yes;Myrna Soto joined this role in 22 Jan 2015;7147;Yes;1459931
CMS ENERGY CORP;CMS;01/12/2018;Audit;Myrna Soto;Member;;Independent Director;Yes;Myrna Soto joined this role in 22 Jan 2015;7147;Yes;1459931
COCA-COLA CO;KO;01/12/2018;Audit;Marc Bolland;Member;;Independent Director;Yes;Marc Bolland joined this role in 19 Feb 2015;7204;Yes;25598
COCA-COLA CO;KO;01/12/2018;Audit;Ronald Allen;Chairman / Financial Expert;;Independent Director;Yes;Ronald Allen joined this role in 01 Oct 2016;7204;Yes;32529
COCA-COLA CO;KO;01/12/2018;Audit;The Hon. Richard Daley;Member;;Independent Director;Yes;The Hon. Richard Daley departed in 25 Apr 2018;7204;Yes;851109
COCA-COLA CO;KO;01/12/2018;Audit;David Weinberg;Financial Expert;;Independent Director;Yes;David Weinberg joined this role in 27 Apr 2016;7204;Yes;1000901
COCA-COLA CO;KO;01/12/2018;Audit;Caroline Tsay;Member;;Independent Director;Yes;Caroline Tsay joined this role in 25 Apr 2018;7204;Yes;1395325
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2018;Audit;John Klein;Member;;Independent Director;Yes;John Klein joined this role in Jan 2000;7256;Yes;141362
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2018;Audit;Joe Velli;Member;;Independent Director;Yes;Joe Velli joined this role in 12 Dec 2017;7256;Yes;201427
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2018;Audit;Jonathan Chadwick;Financial Expert;CFO(1);Independent Director;Yes;Jonathan Chadwick joined this role in 09 Apr 2016;7256;Yes;498099
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2018;Audit;Jonathan Chadwick;Financial Expert;Executive VP/CFO(3);Independent Director;Yes;Jonathan Chadwick joined this role in 09 Apr 2016;7256;Yes;498099
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2018;Audit;Maureen Breakiron-Evans;Chairman / Financial Expert;CFO(1);Independent Director;Yes;Maureen Breakiron-Evans joined this role in 04 Jun 2013;7256;Yes;890455
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2018;Audit;Maureen Breakiron-Evans;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Maureen Breakiron-Evans joined this role in 04 Jun 2013;7256;Yes;890455
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2018;Audit;Zein Abdalla;Member;;Independent Director;Yes;Zein Abdalla joined this role in 15 Sep 2015;7256;Yes;1017003
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2018;Audit;Doctor Leo Mackay Jr;Member;;Independent Director;Yes;Doctor Leo Mackay Jr joined this role in 16 Sep 2012;7256;Yes;1120377
COLGATE-PALMOLIVE CO;CL;01/12/2018;Audit;Steve Sadove;Financial Expert;;Lead Independent Director;Yes;Steve Sadove joined this role in 06 May 2011;7293;Yes;33786
COLGATE-PALMOLIVE CO;CL;01/12/2018;Audit;Ellen Hancock;Financial Expert;;Independent Director;Yes;Ellen Hancock joined this role in Jan 1999;7293;Yes;34542
COLGATE-PALMOLIVE CO;CL;01/12/2018;Audit;Lorrie Norrington;Financial Expert;;Independent Director;Yes;Lorrie Norrington joined this role in 06 May 2016;7293;Yes;48811
COLGATE-PALMOLIVE CO;CL;01/12/2018;Audit;John Cahill;Chairman / Financial Expert;CFO(1);Independent Director;Yes;John Cahill joined this role in 06 May 2011;7293;Yes;55426
COLGATE-PALMOLIVE CO;CL;01/12/2018;Audit;John Cahill;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;John Cahill joined this role in 06 May 2011;7293;Yes;55426
COLGATE-PALMOLIVE CO;CL;01/12/2018;Audit;Charlie Bancroft;Financial Expert;CFO(1);Independent Director;Yes;Charlie Bancroft joined this role in 12 May 2017;7293;Yes;1057351
COLGATE-PALMOLIVE CO;CL;01/12/2018;Audit;Charlie Bancroft;Financial Expert;Executive VP/CFO(3);Independent Director;Yes;Charlie Bancroft joined this role in 12 May 2017;7293;Yes;1057351
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CCZ;01/12/2018;Audit;Johnathan Rodgers;Member;;Independent Director;Yes;Johnathan Rodgers departed in 11 Jun 2018;7387;Yes;32769
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CMCSA;01/12/2018;Audit;Johnathan Rodgers;Member;;Independent Director;Yes;Johnathan Rodgers departed in 11 Jun 2018;7387;Yes;32769
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CCZ;01/12/2018;Audit;Jeff Honickman;Chair/Financial Expert;;Independent Director;Yes;Jeff Honickman joined this role in 21 May 2015;7387;Yes;334966
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CMCSA;01/12/2018;Audit;Jeff Honickman;Chair/Financial Expert;;Independent Director;Yes;Jeff Honickman joined this role in 21 May 2015;7387;Yes;334966
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CCZ;01/12/2018;Audit;Asuka Nakahara;Member;CFO(1);Independent Director;Yes;Asuka Nakahara joined this role in 08 Jun 2017;7387;Yes;594325
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CMCSA;01/12/2018;Audit;Asuka Nakahara;Member;CFO(1);Independent Director;Yes;Asuka Nakahara joined this role in 08 Jun 2017;7387;Yes;594325
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CCZ;01/12/2018;Audit;Maritza Montiel;Financial Expert;;Independent Director;Yes;Maritza Montiel joined this role in 11 Jun 2018;7387;Yes;1286441
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CMCSA;01/12/2018;Audit;Maritza Montiel;Financial Expert;;Independent Director;Yes;Maritza Montiel joined this role in 11 Jun 2018;7387;Yes;1286441
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CCZ;01/12/2018;Audit;Madeline Bell;Member;;Independent Director;Yes;Madeline Bell joined this role in 22 Feb 2016;7387;Yes;1352094
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CMCSA;01/12/2018;Audit;Madeline Bell;Member;;Independent Director;Yes;Madeline Bell joined this role in 22 Feb 2016;7387;Yes;1352094
COMERICA INC;CMA;01/12/2018;Audit;Roger Cregg;Financial Expert;Executive VP/CFO(3);Independent Director;Yes;Roger Cregg joined this role in 20 Dec 2006;7401;Yes;204780
COMERICA INC;CMA;01/12/2018;Audit;Roger Cregg;Financial Expert;VP/CFO(1);Independent Director;Yes;Roger Cregg joined this role in 20 Dec 2006;7401;Yes;204780
COMERICA INC;CMA;01/12/2018;Audit;Thomas DeNicola;Chairman / Financial Expert;CFO(1);Independent Director;Yes;Thomas DeNicola joined this role in 20 May 2009;7401;Yes;207259
COMERICA INC;CMA;01/12/2018;Audit;Reginald Turner Jr;Member;;Independent Director;Yes;Reginald Turner Jr joined this role in 15 Nov 2005;7401;Yes;310430
COMERICA INC;CMA;01/12/2018;Audit;Nina Vaca;Member;;Independent Director;Yes;Nina Vaca joined this role in 27 Apr 2011;7401;Yes;741596
COMERICA INC;CMA;01/12/2018;Audit;Mike Collins;Member;;Independent Director;Yes;Mike Collins joined this role in 25 Apr 2017;7401;Yes;994685
CONSOLIDATED EDISON INC;ED;01/12/2018;Audit;Vincent Calarco;Chairman / Financial Expert;;Independent Director;Yes;Vincent Calarco departed in 21 May 2018;7705;Yes;28886
CONSOLIDATED EDISON INC;ED;01/12/2018;Audit;Linda Sanford;Member;;Independent Director;Yes;Linda Sanford joined this role in 21 May 2018;7705;Yes;32610
CONSOLIDATED EDISON INC;ED;01/12/2018;Audit;Mike Del Giudice;Financial Expert;;Lead Independent Director;Yes;Mike Del Giudice departed in 18 Jan 2018;7705;Yes;35510
CONSOLIDATED EDISON INC;ED;01/12/2018;Audit;John Killian;Chair/Financial Expert;CFO(1);Independent Director;Yes;John Killian joined this role in 21 May 2018;7705;Yes;35975
CONSOLIDATED EDISON INC;ED;01/12/2018;Audit;John Killian;Chair/Financial Expert;Executive VP/CFO(1);Independent Director;Yes;John Killian joined this role in 21 May 2018;7705;Yes;35975
CONSOLIDATED EDISON INC;ED;01/12/2018;Audit;Armando Olivera;Member;;Independent Director;Yes;Armando Olivera joined this role in 21 May 2018;7705;Yes;38761
CONSOLIDATED EDISON INC;ED;01/12/2018;Audit;Mike Ranger;Financial Expert;;Lead Independent Director;Yes;Mike Ranger joined this role in 19 May 2014;7705;Yes;56052
CONSOLIDATED EDISON INC;ED;01/12/2018;Audit;Fred Sutherland;Financial Expert;Executive VP/CFO(5);Independent Director;Yes;Fred Sutherland joined this role in 15 May 2006;7705;Yes;59936
CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);CNX;01/12/2018;Audit;William Davis;Financial Expert;;Independent Director;Yes;William Davis joined this role in 06 May 2015;7734;Yes;56291
CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);CNX;01/12/2018;Audit;Bernie Lanigan Jr;Chairman / Financial Expert;;Independent Director;Yes;Bernie Lanigan Jr joined this role in 28 Nov 2017;7734;Yes;140245
CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);CNX;01/12/2018;Audit;Will Thorndike Jr;Financial Expert;;Independent Chairman;Yes;Will Thorndike Jr joined this role in 28 Nov 2017;7734;Yes;627897
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP.A;01/12/2018;Audit;Charles Herington;Member;;Independent Corporate Director;Yes;Charles Herington joined this role in 29 May 2013;7847;Yes;88242
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP;01/12/2018;Audit;Charles Herington;Member;;Independent Corporate Director;Yes;Charles Herington joined this role in 29 May 2013;7847;Yes;88242
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP.A;01/12/2018;Audit;Fritz Hobbs IV;Financial Expert;;Independent Director;Yes;Fritz Hobbs IV joined this role in Jan 2003;7847;Yes;88247
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP;01/12/2018;Audit;Fritz Hobbs IV;Financial Expert;;Independent Director;Yes;Fritz Hobbs IV joined this role in Jan 2003;7847;Yes;88247
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP.A;01/12/2018;Audit;Roger Eaton;Chairman / Financial Expert;;Independent Director;Yes;Roger Eaton joined this role in 17 May 2017;7847;Yes;595069
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP;01/12/2018;Audit;Roger Eaton;Chairman / Financial Expert;;Independent Director;Yes;Roger Eaton joined this role in 17 May 2017;7847;Yes;595069
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP.A;01/12/2018;Audit;Betty DeVita;Member;;Independent Director;Yes;Betty DeVita joined this role in 25 May 2016;7847;Yes;1276258
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP;01/12/2018;Audit;Betty DeVita;Member;;Independent Director;Yes;Betty DeVita joined this role in 25 May 2016;7847;Yes;1276258
CORNING INC;GLW;01/12/2018;Audit;Kurt Landgraf;Chair/Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Kurt Landgraf joined this role in 24 Apr 2008;7915;Yes;34188
CORNING INC;GLW;01/12/2018;Audit;Don Blair;Financial Expert;CFO(1);Independent Director;Yes;Don Blair joined this role in 15 Jul 2014;7915;Yes;36194
CORNING INC;GLW;01/12/2018;Audit;Don Blair;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Don Blair joined this role in 15 Jul 2014;7915;Yes;36194
CORNING INC;GLW;01/12/2018;Audit;Don Blair;Financial Expert;VP/CFO(1);Independent Director;Yes;Don Blair joined this role in 15 Jul 2014;7915;Yes;36194
CORNING INC;GLW;01/12/2018;Audit;Les Brun;Financial Expert;;Independent Director;Yes;Les Brun joined this role in 18 Jul 2018;7915;Yes;41311
CORNING INC;GLW;01/12/2018;Audit;Doctor Deb Rieman;Member;;Independent Director;Yes;Doctor Deb Rieman joined this role in Jun 2001;7915;Yes;50316
CORNING INC;GLW;01/12/2018;Audit;Chancellor Mark Wrighton;Financial Expert;;Independent Director;Yes;Chancellor Mark Wrighton joined this role in 26 Apr 2012;7915;Yes;83002
CORNING INC;GLW;01/12/2018;Audit;Doctor Stephanie Burns;Financial Expert;;Independent Director;Yes;Doctor Stephanie Burns joined this role in 28 Apr 2016;7915;Yes;92611
CORNING INC;GLW;01/12/2018;Audit;Deb Henretta;Member;;Independent Director;Yes;Deb Henretta joined this role in 17 Jul 2013;7915;Yes;183894
CORNING INC;GLW;01/12/2018;Audit;Doctor Dan Huttenlocher;Member;;Independent Director;Yes;Doctor Dan Huttenlocher joined this role in 03 Feb 2015;7915;Yes;1517194
CROWN CASTLE INC (Crown Castle International Corp prior to 08/2022);CCI;01/12/2018;Audit;Bob McKenzie;Financial Expert;;Independent Director;Yes;Bob McKenzie joined this role in 19 May 2016;8304;Yes;106282
CROWN CASTLE INC (Crown Castle International Corp prior to 08/2022);CCI;01/12/2018;Audit;Lee Hogan;Financial Expert;;Independent Director;Yes;Lee Hogan joined this role in 19 May 2016;8304;Yes;106297
CROWN CASTLE INC (Crown Castle International Corp prior to 08/2022);CCI;01/12/2018;Audit;Bob Garrison II;Financial Expert;;Independent Director;Yes;Bob Garrison II joined this role in 19 May 2016;8304;Yes;345587
CROWN CASTLE INC (Crown Castle International Corp prior to 08/2022);CCI;01/12/2018;Audit;Rob Bartolo;Chairman / Financial Expert;;Independent Director;Yes;Rob Bartolo joined this role in 19 May 2016;8304;Yes;1374609
CSX CORP;CSX;01/12/2018;Audit;David Moffett;Chairman / Financial Expert;CFO(1);Independent Director;Yes;David Moffett joined this role in 11 May 2016;8383;Yes;34164
CSX CORP;CSX;01/12/2018;Audit;David Moffett;Chairman / Financial Expert;Vice Chairman/CFO(2);Independent Director;Yes;David Moffett joined this role in 11 May 2016;8383;Yes;34164
CSX CORP;CSX;01/12/2018;Audit;Dennis Reilley;Financial Expert;;Independent Director;Yes;Dennis Reilley departed in 31 Dec 2018;8383;Yes;34197
CSX CORP;CSX;01/12/2018;Audit;James Whisler;Financial Expert;;Independent Director;Yes;James Whisler joined this role in 06 May 2015;8383;Yes;35625
CSX CORP;CSX;01/12/2018;Audit;Doctor Donna Alvarado;Member;;Independent Director;Yes;Doctor Donna Alvarado joined this role in 01 Sep 2006;8383;Yes;203368
CSX CORP;CSX;01/12/2018;Audit;Steve Halverson;Member;;Independent Director;Yes;Steve Halverson joined this role in 06 May 2009;8383;Yes;499030
CSX CORP;CSX;01/12/2018;Audit;Linda Riefler;Member;;Independent Director;Yes;Linda Riefler joined this role in 06 Mar 2017;8383;Yes;530723
CUMMINS INC;CMI;01/12/2018;Audit;Will Miller;Member;;Independent Director;Yes;Will Miller joined this role in 09 May 2017;8426;Yes;140688
CUMMINS INC;CMI;01/12/2018;Audit;Bob Herdman;Chairman / Financial Expert;;Independent Director;Yes;Bob Herdman joined this role in 11 May 2010;8426;Yes;206795
CUMMINS INC;CMI;01/12/2018;Audit;Georgia Nelson;Member;;Independent Director;Yes;Georgia Nelson joined this role in 13 Jul 2004;8426;Yes;220475
CUMMINS INC;CMI;01/12/2018;Audit;Doctor Steve Dobbs;Member;;Independent Director;Yes;Doctor Steve Dobbs joined this role in 09 May 2017;8426;Yes;483821
CUMMINS INC;CMI;01/12/2018;Audit;Professor Doctor Bob Bernhard;Member;;Independent Director;Yes;Professor Doctor Bob Bernhard joined this role in 09 May 2017;8426;Yes;751984
CUMMINS INC;CMI;01/12/2018;Audit;Karen Quintos;Member;;Independent Director;Yes;Karen Quintos joined this role in 11 Jul 2017;8426;Yes;1089160
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2018;Audit;Nancy-Ann DeParle;Member;;Independent Director;Yes;Nancy-Ann DeParle departed in 2018;8468;Yes;36559
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2018;Audit;The Hon. Mary Schapiro;Financial Expert;;Independent Director;Yes;The Hon. Mary Schapiro joined this role in May 2017;8468;Yes;40761
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2018;Audit;Ed Ludwig;Financial Expert;;Independent Director;Yes;Ed Ludwig joined this role in 28 Nov 2018;8468;Yes;47736
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2018;Audit;Dick Swift;Chairman / Financial Expert;;Independent Director;Yes;Dick Swift joined this role in 01 Mar 2011;8468;Yes;47991
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2018;Audit;Fernando Aguirre;Financial Expert;;Independent Director;Yes;Fernando Aguirre joined this role in 28 Nov 2018;8468;Yes;56567
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2018;Audit;Jean-Pierre Millon;Financial Expert;;Independent Director;Yes;Jean-Pierre Millon joined this role in 12 May 2010;8468;Yes;69687
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2018;Audit;Alecia Decoudreaux;Member;;Independent Director;Yes;Alecia Decoudreaux joined this role in Mar 2016;8468;Yes;181317
DANAHER CORP;DHR;01/12/2018;Audit;Rod Ehrlich;Financial Expert;;Lead Independent Director;Yes;Rod Ehrlich joined this role in 04 May 2005;8663;Yes;36932
DANAHER CORP;DHR;01/12/2018;Audit;John Schwieters;Chairman / Financial Expert;;Independent Director;Yes;John Schwieters joined this role in 23 Jul 2003;8663;Yes;84412
DANAHER CORP;DHR;01/12/2018;Audit;Teri List-Stoll;Financial Expert;Executive VP/CFO(3);Independent Director;Yes;Teri List-Stoll joined this role in 13 Sep 2011;8663;Yes;1014611
DANAHER CORP;DHR;01/12/2018;Audit;Teri List-Stoll;Financial Expert;Finance Manager(1);Independent Director;Yes;Teri List-Stoll joined this role in 13 Sep 2011;8663;Yes;1014611
DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2018;Audit;Doctor Bill Roper;Member;;Independent Director;Yes;Doctor Bill Roper joined this role in 01 Mar 2018;8783;Yes;65207
DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2018;Audit;John Davidson;Chairman / Financial Expert;;Independent Director;Yes;John Davidson departed in 01 Mar 2018;8783;Yes;455620
DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2018;Audit;Pascal Desroches;Chairman / Financial Expert;CFO(1);Independent Director;Yes;Pascal Desroches joined this role in 01 Mar 2018;8783;Yes;595122
DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2018;Audit;Pascal Desroches;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Pascal Desroches joined this role in 01 Mar 2018;8783;Yes;595122
DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2018;Audit;Pam Arway;Financial Expert;;Independent Director;Yes;Pam Arway joined this role in 01 Nov 2016;8783;Yes;890094
DEVON ENERGY CORP;DVN;01/12/2018;Audit;Mike Kanovsky;Member;;Independent Director;Yes;Mike Kanovsky joined this role in 08 Jun 2005;9103;Yes;49991
DEVON ENERGY CORP;DVN;01/12/2018;Audit;Mary Ricciardello;Chairwoman / Financial Expert;;Independent Director;Yes;Mary Ricciardello joined this role in 09 Jun 2010;9103;Yes;183743
DEVON ENERGY CORP;DVN;01/12/2018;Audit;Barbara Baumann;Member;CFO(1);Independent Director;Yes;Barbara Baumann joined this role in 27 Jan 2014;9103;Yes;200281
DEVON ENERGY CORP;DVN;01/12/2018;Audit;The Hon. Robert Henry;Member;;Independent Director;Yes;The Hon. Robert Henry joined this role in 16 Aug 2010;9103;Yes;1086663
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2018;Audit;Mike Szymanczyk;Financial Expert;;Independent Director;Yes;Mike Szymanczyk joined this role in 11 May 2016;9491;Yes;32757
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2018;Audit;Robert Spilman Jr;Chairman / Financial Expert;;Independent Director;Yes;Robert Spilman Jr joined this role in 07 May 2014;9491;Yes;202708
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2018;Audit;Admiral Jim Ellis Jr;Member;;Independent Director;Yes;Admiral Jim Ellis Jr departed in 09 May 2018;9491;Yes;310341
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2018;Audit;Joe Rigby;Financial Expert;;Independent Director;Yes;Joe Rigby joined this role in 10 May 2017;9491;Yes;333781
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2018;Audit;Susan Story;Financial Expert;;Independent Director;Yes;Susan Story joined this role in 09 May 2018;9491;Yes;535729
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2018;Audit;Doctor Pam Royal;Financial Expert;;Independent Director;Yes;Doctor Pam Royal joined this role in 03 May 2013;9491;Yes;997795
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2018;Audit;Helen Dragas;Financial Expert;;Independent Director;Yes;Helen Dragas departed in 09 May 2018;9491;Yes;1095242
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2018;Audit;Jack Pope;Financial Expert;Executive VP/CFO(2);Independent Chairman;Yes;Jack Pope joined this role in 22 May 2014;9519;Yes;35685
R R DONNELLEY & SONS CO (De-listed 02/2022);;01/12/2018;Audit;Jack Pope;Financial Expert;Executive VP/CFO(2);Independent Chairman;Yes;Jack Pope joined this role in 22 May 2014;9519;Yes;35685
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2018;Audit;Jack Pope;Financial Expert;Vice Chairman/CFO(1);Independent Chairman;Yes;Jack Pope joined this role in 22 May 2014;9519;Yes;35685
R R DONNELLEY & SONS CO (De-listed 02/2022);;01/12/2018;Audit;Jack Pope;Financial Expert;Vice Chairman/CFO(1);Independent Chairman;Yes;Jack Pope joined this role in 22 May 2014;9519;Yes;35685
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2018;Audit;Irene Esteves;Financial Expert;Executive VP/CFO(2);Independent Director;Yes;Irene Esteves joined this role in 03 Nov 2017;9519;Yes;106651
R R DONNELLEY & SONS CO (De-listed 02/2022);;01/12/2018;Audit;Irene Esteves;Financial Expert;Executive VP/CFO(2);Independent Director;Yes;Irene Esteves joined this role in 03 Nov 2017;9519;Yes;106651
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2018;Audit;Irene Esteves;Financial Expert;MD/CFO(1);Independent Director;Yes;Irene Esteves joined this role in 03 Nov 2017;9519;Yes;106651
R R DONNELLEY & SONS CO (De-listed 02/2022);;01/12/2018;Audit;Irene Esteves;Financial Expert;MD/CFO(1);Independent Director;Yes;Irene Esteves joined this role in 03 Nov 2017;9519;Yes;106651
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2018;Audit;Irene Esteves;Financial Expert;Senior Executive VP/CFO(1);Independent Director;Yes;Irene Esteves joined this role in 03 Nov 2017;9519;Yes;106651
R R DONNELLEY & SONS CO (De-listed 02/2022);;01/12/2018;Audit;Irene Esteves;Financial Expert;Senior Executive VP/CFO(1);Independent Director;Yes;Irene Esteves joined this role in 03 Nov 2017;9519;Yes;106651
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2018;Audit;Tim McLevish;Chairman / Financial Expert;Executive VP/CFO(4);Independent Director;Yes;Tim McLevish joined this role in 01 Oct 2016;9519;Yes;205904
R R DONNELLEY & SONS CO (De-listed 02/2022);;01/12/2018;Audit;Tim McLevish;Chairman / Financial Expert;Executive VP/CFO(4);Independent Director;Yes;Tim McLevish joined this role in 01 Oct 2016;9519;Yes;205904
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2018;Audit;Tim McLevish;Chairman / Financial Expert;VP/CFO(2);Independent Director;Yes;Tim McLevish joined this role in 01 Oct 2016;9519;Yes;205904
R R DONNELLEY & SONS CO (De-listed 02/2022);;01/12/2018;Audit;Tim McLevish;Chairman / Financial Expert;VP/CFO(2);Independent Director;Yes;Tim McLevish joined this role in 01 Oct 2016;9519;Yes;205904
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2018;Audit;Jeff Katz;Financial Expert;;Independent Director;Yes;Jeff Katz departed in 17 May 2018;9519;Yes;310513
R R DONNELLEY & SONS CO (De-listed 02/2022);;01/12/2018;Audit;Jeff Katz;Financial Expert;;Independent Director;Yes;Jeff Katz departed in 17 May 2018;9519;Yes;310513
DOVER CORP;DOV;01/12/2018;Audit;Michael Stubbs;Financial Expert;;Independent Director;Yes;Michael Stubbs departed in 04 May 2018;9555;Yes;57092
DOVER CORP;DOV;01/12/2018;Audit;Mary Winston;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Mary Winston departed in 04 May 2018;9555;Yes;326662
DOVER CORP;DOV;01/12/2018;Audit;Eric Spiegel;Financial Expert;;Independent Director;Yes;Eric Spiegel joined this role in 09 Feb 2017;9555;Yes;1070482
DOVER CORP;DOV;01/12/2018;Audit;Steve Wagner;Financial Expert;;Independent Director;Yes;Steve Wagner joined this role in 05 May 2011;9555;Yes;1092232
DOVER CORP;DOV;01/12/2018;Audit;Stephen Todd;Chair/Financial Expert;;Independent Director;Yes;Stephen Todd joined this role in 04 May 2018;9555;Yes;1092233
DOVER CORP;DOV;01/12/2018;Audit;H Gilbertson Jr;Financial Expert;;Independent Director;Yes;H Gilbertson Jr joined this role in 02 Aug 2018;9555;Yes;2038510
DTE ENERGY CO;DTE;01/12/2018;Audit;Jim Vandenberghe;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Jim Vandenberghe joined this role in 29 Jun 2006;9693;Yes;69292
DTE ENERGY CO;DTE;01/12/2018;Audit;Jim Vandenberghe;Financial Expert;Vice Chairman/CFO(1);Independent Director;Yes;Jim Vandenberghe joined this role in 29 Jun 2006;9693;Yes;69292
