BoardName;Ticker;AnnualReportDate;CommitteeName;DirectorName;CommitteeRoleName;FunctionalExperience;BoardRole;BrdPosition;DirRoleStatus;BoardID;NED;DirectorID;TenureSince
EDWARDS LIFESCIENCES CORP;EW;01/12/2017;Audit;John Cardis;Chairman / Financial Expert;;Independent Director;Yes;John Cardis departed in 11 May 2017;10156;Yes;210038;
EDWARDS LIFESCIENCES CORP;EW;01/12/2017;Audit;Kieran Gallahue;Financial Expert;;Independent Director;Yes;Kieran Gallahue joined this role in 14 May 2015;10156;Yes;326270;
ENTERGY CORP;ETR;01/12/2017;Audit;Philip Frederickson;Financial Expert;;Independent Director;Yes;Philip Frederickson joined this role in 30 Sep 2015;10750;Yes;34435;
ENTERGY CORP;ETR;01/12/2017;Audit;Maureen Bateman;Member;;Independent Director;Outside;Maureen Bateman joined this role in 08 May 2009;10750;Yes;39791;
ENTERGY CORP;ETR;01/12/2017;Audit;Karen Puckett;Member;;Independent Director;Yes;Karen Puckett joined this role in 06 May 2016;10750;Yes;60097;
ENTERGY CORP;ETR;01/12/2017;Audit;The Hon. Blanche Lincoln;Member;;Independent Director;Yes;The Hon. Blanche Lincoln joined this role in 06 May 2011;10750;Yes;492237;
ENTERGY CORP;ETR;01/12/2017;Audit;Pat Condon;Chairman / Financial Expert;;Independent Director;Yes;Pat Condon joined this role in 06 May 2016;10750;Yes;1192754;
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;Audit;Ambassador Frank Wisner II;Member;;Independent Director;Yes;Ambassador Frank Wisner II joined this role in Jan 2000;10844;Yes;32667;
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;Audit;Bob Daniels;Member;;Independent Director;Yes;Bob Daniels joined this role in 01 Mar 2017;10844;Yes;36082;
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;Audit;Don Textor;Financial Expert;;Independent Director;Yes;Don Textor joined this role in Feb 2015;10844;Yes;58611;
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;Audit;Charlie Crisp;Member;;Presiding Independent Director;Yes;Charlie Crisp joined this role in 07 May 2002;10844;Yes;58646;
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;Audit;Jim Day;Member;;Independent Director;Yes;Jim Day joined this role in 29 Jul 2008;10844;Yes;59636;
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;Audit;Cris Gaut;Financial Expert;Executive VP/CFO(2);Independent Director;Yes;Cris Gaut joined this role in 01 Oct 2017;10844;Yes;61172;
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;Audit;Janet Clark;Chairwoman / Financial Expert;CFO(1);Independent Director;Yes;Janet Clark joined this role in Feb 2015;10844;Yes;183693;
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;Audit;Janet Clark;Chairwoman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Janet Clark joined this role in Feb 2015;10844;Yes;183693;
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;Audit;H Steward;Member;;Independent Director;Yes;H Steward departed in 27 Apr 2017;10844;Yes;310028;
EQUIFAX INC;EFX;01/12/2017;Audit;John McKinley Jr;Financial Expert;;Independent Director;Yes;John McKinley Jr joined this role in 04 May 2017;10896;Yes;34085;
EQUIFAX INC;EFX;01/12/2017;Audit;Mark Templeton;Financial Expert;;Independent Director;Yes;Mark Templeton joined this role in 04 May 2017;10896;Yes;81732;
EQUIFAX INC;EFX;01/12/2017;Audit;Jim Copeland Jr;Financial Expert;;Independent Director;Yes;Jim Copeland Jr departed in 04 May 2017;10896;Yes;83056;
EQUIFAX INC;EFX;01/12/2017;Audit;Bob Daleo;Chairman / Financial Expert;Executive VP/CFO(5);Independent Director;Yes;Bob Daleo joined this role in 05 May 2016;10896;Yes;337379;
EQUIFAX INC;EFX;01/12/2017;Audit;Tom Hough;Financial Expert;;Independent Director;Yes;Tom Hough joined this role in 01 Oct 2016;10896;Yes;797222;
EQT CORP (Equitable Resources Inc prior to 02/2009);EQT;01/12/2017;Audit;Doctor Phil Behrman;Member;;Independent Director;Yes;Doctor Phil Behrman joined this role in 09 Jul 2008;10909;Yes;50731;
EQT CORP (Equitable Resources Inc prior to 02/2009);EQT;01/12/2017;Audit;Margaret Dorman;Financial Expert;;Independent Director;Yes;Margaret Dorman joined this role in 06 Jan 2012;10909;Yes;61787;
EQT CORP (Equitable Resources Inc prior to 02/2009);EQT;01/12/2017;Audit;Steve Thorington;Chairman / Financial Expert;Executive VP/CFO(2);Independent Director;Yes;Steve Thorington joined this role in 10 May 2011;10909;Yes;370042;
EQT CORP (Equitable Resources Inc prior to 02/2009);EQT;01/12/2017;Audit;Ken Burke;Financial Expert;;Independent Director;Yes;Ken Burke joined this role in 06 Jan 2012;10909;Yes;510329;
EQUITY RESIDENTIAL (Equity Residential Properties Trust prior to 10/2002);EQR;01/12/2017;Audit;Linda Bynoe;Financial Expert;;Independent Trustee;Yes;Linda Bynoe joined this role in 13 Jun 2013;10928;Yes;141056;
EQUITY RESIDENTIAL (Equity Residential Properties Trust prior to 10/2002);EQR;01/12/2017;Audit;Gerald Spector;Financial Expert;;Independent Vice Chairman;Yes;Gerald Spector joined this role in 21 Jun 2012;10928;Yes;141083;
EQUITY RESIDENTIAL (Equity Residential Properties Trust prior to 10/2002);EQR;01/12/2017;Audit;Connie Duckworth;Member;;Independent Trustee;Yes;Connie Duckworth joined this role in 17 Dec 2015;10928;Yes;333954;
EQUITY RESIDENTIAL (Equity Residential Properties Trust prior to 10/2002);EQR;01/12/2017;Audit;Steve Sterrett;Financial Expert;Senior Executive VP/CFO(1);Independent Trustee;Yes;Steve Sterrett joined this role in 27 Jan 2015;10928;Yes;456453;
EQUITY RESIDENTIAL (Equity Residential Properties Trust prior to 10/2002);EQR;01/12/2017;Audit;Jack Neal;Chair/Financial Expert;;Independent Trustee;Yes;Jack Neal joined this role in Mar 2009;10928;Yes;492972;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2017;Audit;Joe Sclafani;Chairman / Financial Expert;;Independent Director;Yes;Joe Sclafani joined this role in 28 May 2009;11117;Yes;37066;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETRA;01/12/2017;Audit;Joe Sclafani;Chairman / Financial Expert;;Independent Director;Yes;Joe Sclafani joined this role in 28 May 2009;11117;Yes;37066;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2017;Audit;Richard Carbone;Financial Expert;CFO(1);Independent Director;Yes;Richard Carbone joined this role in 13 Nov 2013;11117;Yes;39991;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETRA;01/12/2017;Audit;Richard Carbone;Financial Expert;CFO(1);Independent Director;Yes;Richard Carbone joined this role in 13 Nov 2013;11117;Yes;39991;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2017;Audit;Richard Carbone;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Richard Carbone joined this role in 13 Nov 2013;11117;Yes;39991;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETRA;01/12/2017;Audit;Richard Carbone;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Richard Carbone joined this role in 13 Nov 2013;11117;Yes;39991;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2017;Audit;Donna Weaver;Member;;Independent Director;Outside;Donna Weaver joined this role in 23 Apr 2003;11117;Yes;91522;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETRA;01/12/2017;Audit;Donna Weaver;Member;;Independent Director;Outside;Donna Weaver joined this role in 23 Apr 2003;11117;Yes;91522;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2017;Audit;Fred Kanner;Member;;Independent Director;Yes;Fred Kanner joined this role in 13 May 2010;11117;Yes;220986;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETRA;01/12/2017;Audit;Fred Kanner;Member;;Independent Director;Yes;Fred Kanner joined this role in 13 May 2010;11117;Yes;220986;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2017;Audit;James Lam;Member;;Independent Director;Yes;James Lam joined this role in 14 Nov 2012;11117;Yes;1279174;
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETRA;01/12/2017;Audit;James Lam;Member;;Independent Director;Yes;James Lam joined this role in 14 Nov 2012;11117;Yes;1279174;
EXELON CORP;EXC;01/12/2017;Audit;Professor Doctor Paul Joskow;Financial Expert;;Independent Director;Yes;Professor Doctor Paul Joskow joined this role in 23 Jul 2007;11376;Yes;12330;
EXELON CORP;EXC;01/12/2017;Audit;Steve Steinour;Financial Expert;;Independent Director;Yes;Steve Steinour joined this role in 08 May 2007;11376;Yes;200105;
EXELON CORP;EXC;01/12/2017;Audit;Ann Berzin;Financial Expert;;Independent Director;Yes;Ann Berzin joined this role in 12 Mar 2012;11376;Yes;201750;
EXELON CORP;EXC;01/12/2017;Audit;Admiral Rich Mies;Financial Expert;;Independent Director;Yes;Admiral Rich Mies joined this role in 27 Jul 2009;11376;Yes;591947;
EXELON CORP;EXC;01/12/2017;Audit;Tony Anderson;Chairman / Financial Expert;;Independent Director;Yes;Tony Anderson joined this role in 21 Oct 2014;11376;Yes;994959;
EXPEDITORS INTERNATIONAL OF WASHINGTON INC;EXPD;01/12/2017;Audit;Dan Kourkoumelis;Member;;Independent Director;Yes;Dan Kourkoumelis joined this role in 21 May 2015;11401;Yes;62777;
EXPEDITORS INTERNATIONAL OF WASHINGTON INC;EXPD;01/12/2017;Audit;Mike Malone;Member;;Independent Director;Yes;Mike Malone departed in 02 May 2017;11401;Yes;62787;
EXPEDITORS INTERNATIONAL OF WASHINGTON INC;EXPD;01/12/2017;Audit;Alain Monié;Member;;Independent Director;Yes;Alain Monié joined this role in 02 May 2017;11401;Yes;377735;
EXPEDITORS INTERNATIONAL OF WASHINGTON INC;EXPD;01/12/2017;Audit;Jim DuBois;Member;;Independent Director;Yes;Jim DuBois joined this role in 03 May 2016;11401;Yes;1360492;
EXPEDITORS INTERNATIONAL OF WASHINGTON INC;EXPD;01/12/2017;Audit;Richard McCune;Chairman / Financial Expert;;Independent Director;Yes;Richard McCune joined this role in 04 Aug 2014;11401;Yes;1452288;
EXPRESS SCRIPTS HOLDING CO (De-listed 12/2018);ESRX;01/12/2017;Audit;Sy Sternberg;Financial Expert;;Independent Director;Yes;Sy Sternberg joined this role in 28 May 2008;11414;Yes;59286;
EXPRESS SCRIPTS HOLDING CO (De-listed 12/2018);ESRX;01/12/2017;Audit;Nick LaHowchic;Financial Expert;;Independent Director;Yes;Nick LaHowchic joined this role in 06 May 2015;11414;Yes;59751;
EXPRESS SCRIPTS HOLDING CO (De-listed 12/2018);ESRX;01/12/2017;Audit;Frank Mergenthaler;Chairman / Financial Expert;Executive VP/CFO(2);Independent Director;Yes;Frank Mergenthaler joined this role in 04 May 2011;11414;Yes;340830;
EXPRESS SCRIPTS HOLDING CO (De-listed 12/2018);ESRX;01/12/2017;Audit;Bill DeLaney III;Financial Expert;CEO/CFO(1);Independent Director;Yes;Bill DeLaney III joined this role in 28 Sep 2011;11414;Yes;510444;
EXPRESS SCRIPTS HOLDING CO (De-listed 12/2018);ESRX;01/12/2017;Audit;Bill DeLaney III;Financial Expert;CFO(1);Independent Director;Yes;Bill DeLaney III joined this role in 28 Sep 2011;11414;Yes;510444;
EXXON MOBIL CORP;XOM;01/12/2017;Audit;Peter Brabeck-Letmathe;Financial Expert;;Independent Director;Yes;Peter Brabeck-Letmathe departed in 31 May 2017;11430;Yes;13116;
EXXON MOBIL CORP;XOM;01/12/2017;Audit;Bill Weldon;Financial Expert;;Independent Director;Yes;Bill Weldon joined this role in 31 May 2017;11430;Yes;31226;
EXXON MOBIL CORP;XOM;01/12/2017;Audit;Ursula Burns;Chairman / Financial Expert;;Independent Director;Yes;Ursula Burns joined this role in 31 May 2017;11430;Yes;36098;
EXXON MOBIL CORP;XOM;01/12/2017;Audit;Doug Oberhelman;Financial Expert;VP/CFO(1);Independent Director;Yes;Doug Oberhelman joined this role in 27 May 2015;11430;Yes;41541;
EXXON MOBIL CORP;XOM;01/12/2017;Audit;Doctor Larry Faulkner;Chairman / Financial Expert;;Independent Director;Yes;Doctor Larry Faulkner departed in 31 May 2017;11430;Yes;344637;
EXXON MOBIL CORP;XOM;01/12/2017;Audit;Henrietta Fore;Member;;Independent Director;Yes;Henrietta Fore departed in 31 Dec 2017;11430;Yes;1068733;
FASTENAL CO;FAST;01/12/2017;Audit;Darren Jackson;Financial Expert;VP/CFO(1);Independent Director;Yes;Darren Jackson joined this role in 22 Apr 2014;11608;Yes;46401;
FASTENAL CO;FAST;01/12/2017;Audit;Mike Dolan;Chairman / Financial Expert;;Independent Director;Yes;Mike Dolan joined this role in 14 Jun 2000;11608;Yes;69847;
FASTENAL CO;FAST;01/12/2017;Audit;Steve Eastman;Member;;Independent Director;Yes;Steve Eastman joined this role in 13 Jul 2015;11608;Yes;988260;
FASTENAL CO;FAST;01/12/2017;Audit;Dan Johnson;Member;;Independent Director;Yes;Dan Johnson joined this role in 24 May 2016;11608;Yes;1456752;
FIRSTENERGY CORP;FE;01/12/2017;Audit;Yank Heisler Jr;Member;;Independent Director;Yes;Yank Heisler Jr died on 11 Apr 2017;11964;Yes;45051;
FIRSTENERGY CORP;FE;01/12/2017;Audit;George Smart;Member;;Independent Chairman;Yes;George Smart joined this role in 17 May 2005;11964;Yes;47311;
FIRSTENERGY CORP;FE;01/12/2017;Audit;Paul Addison;Financial Expert;;Independent Director;Yes;Paul Addison joined this role in 17 May 2016;11964;Yes;48191;
FIRSTENERGY CORP;FE;01/12/2017;Audit;Ernest Novak Jr;Financial Expert;;Independent Director;Yes;Ernest Novak Jr departed in 16 May 2017;11964;Yes;183748;
FIRSTENERGY CORP;FE;01/12/2017;Audit;Jim O'Neil III;Financial Expert;;Independent Director;Yes;Jim O'Neil III joined this role in 16 May 2017;11964;Yes;496614;
FIRSTENERGY CORP;FE;01/12/2017;Audit;Don Misheff;Chairman / Financial Expert;;Independent Director;Yes;Don Misheff joined this role in 17 May 2016;11964;Yes;994727;
FLIR SYSTEMS INC (De-listed 05/2021);FLIR;01/12/2017;Audit;Michael Smith;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Outside;Michael Smith joined this role in 22 Jul 2002;12112;Yes;81777;
FLIR SYSTEMS INC (De-listed 05/2021);FLIR;01/12/2017;Audit;Steve Wynne;Member;;Independent Director;Yes;Steve Wynne joined this role in 23 Apr 2010;12112;Yes;182939;
FLIR SYSTEMS INC (De-listed 05/2021);FLIR;01/12/2017;Audit;Angus MacDonald;Member;;Independent Director;Yes;Angus MacDonald joined this role in Apr 2001;12112;Yes;182941;
FLIR SYSTEMS INC (De-listed 05/2021);FLIR;01/12/2017;Audit;Cathy Halligan;Member;;Independent Director;Yes;Cathy Halligan joined this role in 25 Apr 2014;12112;Yes;1145170;
FLOWSERVE CORP;FLS;01/12/2017;Audit;Leif Darner;Member;;Independent Director;Yes;Leif Darner departed in May 2017;12153;Yes;183791;
FLOWSERVE CORP;FLS;01/12/2017;Audit;Rick Mills;Member;Finance Manager(1);Independent Director;Yes;Rick Mills joined this role in 22 May 2014;12153;Yes;203775;
FLOWSERVE CORP;FLS;01/12/2017;Audit;Gayla Delly;Chairman / Financial Expert;;Independent Director;Yes;Gayla Delly joined this role in 22 May 2014;12153;Yes;205183;
FLOWSERVE CORP;FLS;01/12/2017;Audit;Roger Fix;Member;;Independent Chairman;Yes;Roger Fix departed in May 2017;12153;Yes;274380;
FLOWSERVE CORP;FLS;01/12/2017;Audit;Joe Harlan;Member;;Independent Director;Yes;Joe Harlan joined this role in May 2017;12153;Yes;534432;
FLUOR CORP;FLR;01/12/2017;Audit;Doctor Nader Sultan;Member;;Independent Director;Yes;Doctor Nader Sultan joined this role in 06 May 2010;12159;Yes;10862;
FLUOR CORP;FLR;01/12/2017;Audit;Matt Rose;Financial Expert;;Independent Director;Yes;Matt Rose joined this role in 30 Apr 2014;12159;Yes;35615;
FLUOR CORP;FLR;01/12/2017;Audit;Alan Bennett;Financial Expert;CFO(1);Independent Director;Yes;Alan Bennett joined this role in 03 Nov 2011;12159;Yes;50466;
FLUOR CORP;FLR;01/12/2017;Audit;Peter Barker;Chairman / Financial Expert;;Independent Director;Yes;Peter Barker joined this role in 30 Apr 2015;12159;Yes;52617;
FLUOR CORP;FLR;01/12/2017;Audit;Lynn Swann;Member;;Independent Director;Yes;Lynn Swann joined this role in 31 Oct 2013;12159;Yes;202720;
FLUOR CORP;FLR;01/12/2017;Audit;Deborah McWhinney;Member;;Independent Director;Yes;Deborah McWhinney departed in 04 May 2017;12159;Yes;486477;
FLUOR CORP;FLR;01/12/2017;Audit;Admiral Sam Locklear III;Member;;Independent Director;Yes;Admiral Sam Locklear III joined this role in 02 Feb 2017;12159;Yes;1853385;
FMC CORP;FMC;01/12/2017;Audit;G D'Aloia;Financial Expert;;Lead Independent Director;Yes;G D'Aloia joined this role in 29 Apr 2014;12164;Yes;55811;
FMC CORP;FMC;01/12/2017;Audit;Eddie Cordeiro;Chair/Financial Expert;CFO(1);Independent Director;Yes;Eddie Cordeiro joined this role in 29 Apr 2014;12164;Yes;328860;
FMC CORP;FMC;01/12/2017;Audit;Eddie Cordeiro;Chair/Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Eddie Cordeiro joined this role in 29 Apr 2014;12164;Yes;328860;
FMC CORP;FMC;01/12/2017;Audit;Vince Volpe Jr;Member;;Independent Director;Yes;Vince Volpe Jr joined this role in 03 Oct 2007;12164;Yes;375677;
FMC CORP;FMC;01/12/2017;Audit;Paul Norris;Member;;Independent Director;Yes;Paul Norris joined this role in 29 Apr 2014;12164;Yes;377669;
FMC CORP;FMC;01/12/2017;Audit;Bob Pallash;Member;;Independent Director;Yes;Bob Pallash joined this role in 22 Apr 2008;12164;Yes;490462;
FORD MOTOR CO;F;01/12/2017;Audit;Jim Hance Jr;Member;CFO(1);Independent Director;Yes;Jim Hance Jr departed in 11 May 2017;12262;Yes;33167;
FORD MOTOR CO;F;01/12/2017;Audit;Jim Hance Jr;Member;Executive VP/CFO(1);Independent Director;Yes;Jim Hance Jr departed in 11 May 2017;12262;Yes;33167;
FORD MOTOR CO;F;01/12/2017;Audit;Jim Hance Jr;Member;Vice Chairman/CFO(3);Independent Director;Yes;Jim Hance Jr departed in 11 May 2017;12262;Yes;33167;
FORD MOTOR CO;F;01/12/2017;Audit;Gerry Shaheen;Member;;Independent Director;Yes;Gerry Shaheen departed in 11 May 2017;12262;Yes;36502;
FORD MOTOR CO;F;01/12/2017;Audit;Stephen Butler;Chairman / Financial Expert;;Independent Director;Yes;Stephen Butler joined this role in 12 May 2005;12262;Yes;64107;
FORD MOTOR CO;F;01/12/2017;Audit;Kim Casiano;Member;;Independent Director;Yes;Kim Casiano joined this role in 11 May 2006;12262;Yes;183643;
FORD MOTOR CO;F;01/12/2017;Audit;John Veihmeyer;Financial Expert;;Independent Director;Yes;John Veihmeyer joined this role in 01 Dec 2017;12262;Yes;1267392;
FORD MOTOR CO;F;01/12/2017;Audit;Lynn Radakovich;Member;;Independent Director;Yes;Lynn Radakovich joined this role in 01 Apr 2017;12262;Yes;1382628;
FOSSIL GROUP INC (Fossil Inc prior to 05/2013);FOSL;01/12/2017;Audit;Jeff Boyer;Financial Expert;Executive VP/CFO(4);Independent Director;Yes;Jeff Boyer departed in 15 Oct 2017;12370;Yes;47776;
FOSSIL GROUP INC (Fossil Inc prior to 05/2013);FOSL;01/12/2017;Audit;Bill Chiasson;Chairman / Financial Expert;CFO(1);Lead Independent Director;Yes;Bill Chiasson joined this role in 20 May 2015;12370;Yes;323792;
FOSSIL GROUP INC (Fossil Inc prior to 05/2013);FOSL;01/12/2017;Audit;Tom Nealon;Member;;Independent Director;Yes;Tom Nealon joined this role in 21 May 2014;12370;Yes;500366;
FOSSIL GROUP INC (Fossil Inc prior to 05/2013);FOSL;01/12/2017;Audit;Elaine Agather;Member;;Independent Director;Yes;Elaine Agather departed in 24 May 2017;12370;Yes;516829;
NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010);NEE;01/12/2017;Audit;Jack Skolds;Member;;Independent Director;Yes;Jack Skolds joined this role in 23 May 2013;12407;Yes;36376;
NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010);NEE;01/12/2017;Audit;Sherry Barrat;Member;;Lead Independent Director;Yes;Sherry Barrat joined this role in 20 May 2011;12407;Yes;38581;
NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010);NEE;01/12/2017;Audit;Bill Swanson;Chairman / Financial Expert;;Independent Director;Yes;Bill Swanson joined this role in 22 May 2014;12407;Yes;44761;
NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010);NEE;01/12/2017;Audit;Toni Jennings;Member;;Independent Director;Yes;Toni Jennings joined this role in 21 May 2015;12407;Yes;82647;
NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010);NEE;01/12/2017;Audit;Naren Gursahaney;Financial Expert;;Independent Director;Yes;Naren Gursahaney joined this role in 24 Jul 2014;12407;Yes;200619;
FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014);FCX;01/12/2017;Audit;Jon Madonna;Chairman / Financial Expert;;Independent Director;Yes;Jon Madonna joined this role in 08 Jun 2016;12493;Yes;51246;
FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014);FCX;01/12/2017;Audit;Jerry Ford;Financial Expert;;Independent Chairman;Yes;Jerry Ford joined this role in Feb 2000;12493;Yes;67877;
FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014);FCX;01/12/2017;Audit;Courtney Mather;Financial Expert;;Independent Director;Yes;Courtney Mather joined this role in 07 Oct 2015;12493;Yes;1393347;
GENERAL DYNAMICS CORP;GD;01/12/2017;Audit;Jim Crown;Member;;Lead Independent Director;Yes;Jim Crown joined this role in 07 May 2003;12984;Yes;33906;
GENERAL DYNAMICS CORP;GD;01/12/2017;Audit;Bill Osborn;Financial Expert;;Independent Director;Yes;Bill Osborn joined this role in 02 Dec 2009;12984;Yes;36014;
GENERAL DYNAMICS CORP;GD;01/12/2017;Audit;Bill Fricks;Chairman / Financial Expert;;Independent Director;Yes;Bill Fricks departed in 03 May 2017;12984;Yes;45446;
GENERAL DYNAMICS CORP;GD;01/12/2017;Audit;Catherine Reynolds;Financial Expert;;Independent Director;Yes;Catherine Reynolds joined this role in 03 May 2017;12984;Yes;141237;
GENERAL DYNAMICS CORP;GD;01/12/2017;Audit;General Les Lyles;Member;;Independent Director;Yes;General Les Lyles joined this role in Feb 2004;12984;Yes;183664;
GENERAL DYNAMICS CORP;GD;01/12/2017;Audit;Mark Malcolm;Chairman / Financial Expert;;Independent Director;Yes;Mark Malcolm joined this role in 03 May 2017;12984;Yes;1112568;
GENERAL ELECTRIC CO (GE Aerospace);GNE;01/12/2017;Audit;Jim Mulva;Financial Expert;CFO(1);Independent Director;Yes;Jim Mulva joined this role in 22 Apr 2009;12986;Yes;34329;
GENERAL ELECTRIC CO (GE Aerospace);GNE;01/12/2017;Audit;Jim Mulva;Financial Expert;CFO(1);Independent Director;Yes;Jim Mulva joined this role in 22 Apr 2009;12986;Yes;34329;
GENERAL ELECTRIC CO (GE Aerospace);GE;01/12/2017;Audit;Jim Mulva;Financial Expert;CFO(1);Independent Director;Yes;Jim Mulva joined this role in 22 Apr 2009;12986;Yes;34329;
GENERAL ELECTRIC CO (GE Aerospace);GE;01/12/2017;Audit;Jim Mulva;Financial Expert;CFO(1);Independent Director;Yes;Jim Mulva joined this role in 22 Apr 2009;12986;Yes;34329;
GENERAL ELECTRIC CO (GE Aerospace);GEC;01/12/2017;Audit;Jim Mulva;Financial Expert;CFO(1);Independent Director;Yes;Jim Mulva joined this role in 22 Apr 2009;12986;Yes;34329;
GENERAL ELECTRIC CO (GE Aerospace);GEC;01/12/2017;Audit;Jim Mulva;Financial Expert;CFO(1);Independent Director;Yes;Jim Mulva joined this role in 22 Apr 2009;12986;Yes;34329;
GENERAL ELECTRIC CO (GE Aerospace);;01/12/2017;Audit;Jim Mulva;Financial Expert;CFO(1);Independent Director;Yes;Jim Mulva joined this role in 22 Apr 2009;12986;Yes;34329;
GENERAL ELECTRIC CO (GE Aerospace);;01/12/2017;Audit;Jim Mulva;Financial Expert;CFO(1);Independent Director;Yes;Jim Mulva joined this role in 22 Apr 2009;12986;Yes;34329;
GENERAL ELECTRIC CO (GE Aerospace);GNE;01/12/2017;Audit;The Hon. Mary Schapiro;Chairwoman / Financial Expert;;Independent Director;Yes;The Hon. Mary Schapiro joined this role in 27 Apr 2016;12986;Yes;40761;
GENERAL ELECTRIC CO (GE Aerospace);GNE;01/12/2017;Audit;The Hon. Mary Schapiro;Chairwoman / Financial Expert;;Independent Director;Yes;The Hon. Mary Schapiro joined this role in 27 Apr 2016;12986;Yes;40761;
GENERAL ELECTRIC CO (GE Aerospace);GE;01/12/2017;Audit;The Hon. Mary Schapiro;Chairwoman / Financial Expert;;Independent Director;Yes;The Hon. Mary Schapiro joined this role in 27 Apr 2016;12986;Yes;40761;
GENERAL ELECTRIC CO (GE Aerospace);GE;01/12/2017;Audit;The Hon. Mary Schapiro;Chairwoman / Financial Expert;;Independent Director;Yes;The Hon. Mary Schapiro joined this role in 27 Apr 2016;12986;Yes;40761;
GENERAL ELECTRIC CO (GE Aerospace);GEC;01/12/2017;Audit;The Hon. Mary Schapiro;Chairwoman / Financial Expert;;Independent Director;Yes;The Hon. Mary Schapiro joined this role in 27 Apr 2016;12986;Yes;40761;
GENERAL ELECTRIC CO (GE Aerospace);GEC;01/12/2017;Audit;The Hon. Mary Schapiro;Chairwoman / Financial Expert;;Independent Director;Yes;The Hon. Mary Schapiro joined this role in 27 Apr 2016;12986;Yes;40761;
GENERAL ELECTRIC CO (GE Aerospace);;01/12/2017;Audit;The Hon. Mary Schapiro;Chairwoman / Financial Expert;;Independent Director;Yes;The Hon. Mary Schapiro joined this role in 27 Apr 2016;12986;Yes;40761;
GENERAL ELECTRIC CO (GE Aerospace);;01/12/2017;Audit;The Hon. Mary Schapiro;Chairwoman / Financial Expert;;Independent Director;Yes;The Hon. Mary Schapiro joined this role in 27 Apr 2016;12986;Yes;40761;
GENERAL ELECTRIC CO (GE Aerospace);GNE;01/12/2017;Audit;Jim Rohr;Financial Expert;;Independent Director;Yes;Jim Rohr joined this role in 27 Apr 2016;12986;Yes;44006;
GENERAL ELECTRIC CO (GE Aerospace);GNE;01/12/2017;Audit;Jim Rohr;Financial Expert;;Independent Director;Yes;Jim Rohr joined this role in 27 Apr 2016;12986;Yes;44006;
GENERAL ELECTRIC CO (GE Aerospace);GE;01/12/2017;Audit;Jim Rohr;Financial Expert;;Independent Director;Yes;Jim Rohr joined this role in 27 Apr 2016;12986;Yes;44006;
GENERAL ELECTRIC CO (GE Aerospace);GE;01/12/2017;Audit;Jim Rohr;Financial Expert;;Independent Director;Yes;Jim Rohr joined this role in 27 Apr 2016;12986;Yes;44006;
